    x-direction              y-direction               z-direction
  -8.2156503822261583E-017   4.6629367034256573E-017  -4.8294701571194309E-017
  -4.4686476741162553E-017   8.6597395920762213E-017  -4.3853809472693685E-017
  -7.6050277186823229E-017   6.8833827526759705E-017  -3.9412917374193055E-017
  -4.4408920985006264E-017   4.4408920985006264E-017  -3.4416913763379853E-017
  -3.6359804056473878E-017   2.2204460492503132E-017  -5.1070259132757203E-017
  -1.0241807402167069E-016   2.2204460492503132E-017  -6.4948046940571654E-017
  -7.3274719625260335E-017   3.3306690738754695E-017  -2.7755575615628915E-018
  -7.2719608112947756E-017   2.6645352591003756E-017  -5.1070259132757203E-017
  -7.9936057773011268E-017   1.7763568394002505E-017  -4.3853809472693685E-017
  -5.5511151231257827E-017   2.8865798640254071E-017  -8.2711615334574162E-017
  -5.0792703376600914E-017   6.6613381477509390E-018  -4.3853809472693685E-017
  -4.7462034302725441E-017   1.7763568394002505E-017  -3.1641356201816959E-017
  -3.4416913763379853E-017  -1.1102230246251566E-017  -3.9412917374193055E-017
  -5.0515147620444624E-017   0.0000000000000000       -5.3290705182007512E-017
  -1.6653345369377347E-017  -2.6645352591003756E-017  -4.6074255521943994E-017
  -4.8294701571194309E-017   1.7763568394002505E-017  -6.5503158452884232E-017
  -4.5796699765787705E-017   2.2204460492503131E-018  -4.3298697960381107E-017
  -2.2204460492503132E-017   1.9984014443252817E-017  -9.6589403142388619E-017
  -5.7454041524351847E-017   8.8817841970012525E-018  -7.6050277186823229E-017
  -2.9420910152566650E-017   5.3290705182007512E-017  -7.1609385088322599E-017
  -2.2482016248659421E-017   1.7763568394002505E-017  -5.6621374255882985E-017
   2.8865798640254071E-017   1.9984014443252817E-017  -8.9928064994637686E-017
  -1.3600232051658167E-017  -2.2204460492503131E-018  -8.7152507433074792E-017
  -2.2204460492503132E-017  -1.9984014443252817E-017  -8.7152507433074792E-017
  -4.3853809472693685E-017  -1.9984014443252817E-017  -4.9960036108132046E-017
  -4.8849813083506888E-017   2.2204460492503131E-018  -7.0499162063697441E-017
  -4.9960036108132042E-018  -2.2204460492503131E-018  -5.1070259132757203E-017
  -1.3600232051658167E-017   2.8865798640254071E-017  -9.3258734068513146E-017
  -4.2743586448068528E-017   0.0000000000000000       -1.0047518372857667E-016
  -6.8556271770603422E-017  -1.1102230246251566E-017  -6.6613381477509390E-017
  -4.6351811278100284E-017   3.7747582837255325E-017  -1.1268763699945338E-016
  -1.2212453270876722E-017  -4.2188474935755949E-017   3.4416913763379853E-017
  -1.1102230246251566E-017  -1.3322676295501878E-017   3.7747582837255325E-017
  -9.7144514654701191E-018  -3.5527136788005010E-017   2.3314683517128286E-017
   3.3306690738754695E-018  -6.6613381477509390E-018   1.9428902930940238E-017
  -6.3837823915946504E-018   1.1102230246251566E-017   2.6090241078691177E-017
  -1.3877787807814457E-017  -2.4424906541753444E-017   2.7755575615628915E-018
   2.3869795029440865E-017  -1.3322676295501878E-017   1.8318679906315084E-017
  -1.6375789613221058E-017  -3.9968028886505634E-017   1.3877787807814457E-017
   2.2482016248659421E-017  -3.3306690738754695E-017   2.1649348980190553E-017
  -2.2204460492503132E-017  -3.5527136788005010E-017   2.2204460492503132E-017
   2.1094237467877975E-017  -1.1102230246251566E-017   5.9952043329758457E-017
   4.4408920985006263E-018   0.0000000000000000        3.4416913763379853E-017
  -3.1918911957973248E-017  -6.6613381477509390E-018   5.7731597280508142E-017
   1.3877787807814457E-017  -2.6645352591003756E-017   3.6082248300317589E-017
  -4.4686476741162553E-017  -2.2204460492503132E-017  -2.7755575615628915E-018
  -1.3877787807814458E-018  -2.2204460492503132E-017   3.9968028886505634E-017
   3.0253577421035518E-017  -8.8817841970012525E-018  -7.2164496600635178E-018
  -3.5804692544161299E-017   6.6613381477509390E-018  -2.7755575615628915E-018
  -3.4416913763379853E-017  -2.6645352591003756E-017   7.2164496600635178E-018
  -4.4131365228849975E-017  -3.3306690738754695E-017   6.1062266354383610E-018
   0.0000000000000000        0.0000000000000000        2.2204460492503132E-017
  -3.8857805861880483E-018  -3.3306690738754695E-017   4.8294701571194309E-017
   9.9920072216264085E-018  -2.6645352591003756E-017   2.5535129566378602E-017
  -3.0531133177191805E-018  -3.9968028886505634E-017   2.2204460492503132E-017
  -1.3877787807814458E-018   1.9984014443252817E-017   1.9984014443252817E-017
  -6.4948046940571654E-017   1.1102230246251566E-017   5.1070259132757203E-017
  -6.6613381477509390E-018   8.8817841970012525E-018   2.9420910152566650E-017
  -3.0531133177191805E-018   2.2204460492503131E-018   5.2180482157382354E-017
   3.0531133177191807E-017  -3.7747582837255325E-017   3.5527136788005010E-017
  -6.3837823915946504E-018  -4.4408920985006263E-018   1.3877787807814457E-017
   3.7470027081099036E-017  -2.2204460492503132E-017   3.2196467714129537E-017
   1.8596235662471373E-017  -6.6613381477509390E-018  -3.3306690738754695E-018
   2.3314683517128286E-017  -3.3306690738754695E-017   1.8873791418627663E-017
   7.8548278992229827E-017  -2.2204460492503132E-017   2.4424906541753444E-017
   6.6058269965196811E-017   0.0000000000000000        6.1062266354383610E-018
   4.8849813083506888E-017   0.0000000000000000        7.7715611723760965E-018
   1.1934897514720433E-017  -3.1086244689504386E-017   4.4408920985006263E-018
   7.2442052356791461E-017  -8.8817841970012525E-018   1.6653345369377347E-017
   2.4147350785597155E-017  -3.9968028886505634E-017   1.4988010832439614E-017
   2.0539125955565396E-017  -2.8865798640254071E-017  -1.8318679906315084E-017
  -5.5511151231257828E-019  -2.6645352591003756E-017  -7.7715611723760965E-018
   7.2442052356791461E-017  -2.8865798640254071E-017   2.4980018054066023E-017
